experiment,lang,head_type,weights,model_short,max_length,best_val_f1,relevance_f1,utilization_f1,adherence_f1,test_relevance_f1,test_utilization_f1,test_adherence_f1,threshold_relevance,threshold_utilization,threshold_adherence
EN Simple 1:1:1,EN,Simple,1:1:1,DeBERTa-v3,128,0.7683797478675842,0.7683797478675842,0.6696539521217346,0.9027093648910522,0.6398913860321045,0.5458425879478455,0.8912943005561829,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,1024,0.6575871706008911,0.6575871706008911,0.6562427282333374,0.9291444420814514,0.6299208402633667,0.6266962289810181,0.9166816473007202,0.4,0.4,0.6
EN Simple 1:1:1,EN,Simple,1:1:1,Tochka-AI/ruRoPEBert-e5-base-2k,256,0.635671854019165,0.635671854019165,0.5397509336471558,0.9215039014816284,0.5580735206604004,0.4705936014652252,0.9090909361839294,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,512,0.4881974160671234,0.4881974160671234,0.40650203824043274,0.8820989727973938,0.48005813360214233,0.4121550917625427,0.9147071242332458,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,DeBERTa-v3,128,0.7685569524765015,0.7685569524765015,0.0,0.9027093648910522,0.6398657560348511,0.0,0.8912943005561829,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,ModernBERT,1024,0.6644360423088074,0.6644360423088074,0.6692554354667664,0.9324111342430115,0.6589086651802063,0.659044623374939,0.9221633076667786,0.4,0.5,0.3
EN Simple 3:3:1,EN,Simple,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,256,0.635671854019165,0.635671854019165,0.5397509336471558,0.9215039014816284,0.5580735206604004,0.4705936014652252,0.9090909361839294,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,BGE-M3,512,0.4881974160671234,0.4881974160671234,0.40650203824043274,0.8821212649345398,0.48041465878486633,0.41260653734207153,0.9148181676864624,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,DeBERTa-v3,128,0.9518716335296631,0.9518716335296631,0.8821293115615845,0.8614231944084167,0.886904776096344,0.7519466280937195,0.8700000047683716,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,256,0.6534098386764526,0.6534098386764526,0.5610178112983704,0.9392592310905457,0.5636598467826843,0.46958082914352417,0.9038529396057129,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,512,0.6116006374359131,0.6116006374359131,0.5430869460105896,0.8622992038726807,0.5568653345108032,0.49623268842697144,0.9154682755470276,0.3,0.4,0.4
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,512,0.5356748700141907,0.5356748700141907,0.44850820302963257,0.8519982695579529,0.5186730027198792,0.4619692265987396,0.9190567135810852,0.1,0.1,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,128,0.9535714387893677,0.9535714387893677,0.8821293115615845,0.9173554182052612,0.8836745619773865,0.7519466280937195,0.862533688545227,0.5,0.1,0.6
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,2048,0.8034110069274902,0.8034110069274902,0.8388041257858276,0.9427353739738464,0.7968176007270813,0.8328465819358826,0.9309396147727966,0.5,0.4,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,2048,0.8008008599281311,0.8008008599281311,0.8329395055770874,0.9435679316520691,0.7955536246299744,0.8308417797088623,0.935224711894989,0.4,0.5,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,128,0.9518716335296631,0.9518716335296631,0.8821293115615845,0.8614231944084167,0.886904776096344,0.7519466280937195,0.8700000047683716,0.1,0.1,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,2048,0.8081331849098206,0.8081331849098206,0.8445920348167419,0.9465026259422302,0.7977596521377563,0.8406055569648743,0.9349138736724854,0.4,0.4,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,2048,0.8024698495864868,0.8024698495864868,0.8320736289024353,0.9423854351043701,0.7961739301681519,0.8248611688613892,0.9368009567260742,0.4,0.5,0.1
