model_short,max_length,RU Simple 1:1:1,RU Simple 3:3:1,EN Simple 1:1:1,EN Simple 3:3:1,RU Complex 3:3:1
BGE-M3,256,0.9037,0.9019,,,
BGE-M3,512,0.9318,0.9343,0.9147,0.9148,0.9191
BGE-M3,1024,0.915,0.9125,0.9087,0.9087,0.9114
BGE-M3,2048,0.9352,0.9368,0.9232,0.9232,0.9305
BGE-M3,4096,0.9364,0.9319,0.9147,0.9147,0.928
BGE-M3,8192,0.9338,0.9317,0.9141,0.0,0.9275
DeBERTa-v3,128,0.8625,0.87,0.8913,0.8913,0.87
DeBERTa-v3,256,0.8835,0.8835,0.9019,0.9021,0.8835
DeBERTa-v3,512,0.9018,0.9135,0.9002,0.9003,0.9125
ModernBERT,256,0.9072,0.9083,,,
ModernBERT,512,0.9206,0.9229,0.8821,0.8875,0.9155
ModernBERT,1024,0.9209,0.9245,0.9167,0.9222,0.9069
ModernBERT,2048,0.9309,0.9349,0.9278,0.9253,0.9312
ModernBERT,4096,0.9315,0.9366,0.9235,0.9209,0.0
ModernBERT,8192,0.9281,0.9321,0.9189,0.9187,0.9291
Tochka-AI/ruRoPEBert-e5-base-2k,256,,,0.9091,0.9091,0.9039
Tochka-AI/ruRoPEBert-e5-base-2k,512,,,0.9193,0.9193,0.919
Tochka-AI/ruRoPEBert-e5-base-2k,1024,,,0.9094,0.9094,0.9115
Tochka-AI/ruRoPEBert-e5-base-2k,2048,,,0.9231,0.9231,0.9305
