experiment,lang,head_type,weights,model_short,max_length,mean_test_f1,test_relevance_f1,test_utilization_f1,test_adherence_f1
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,2048,0.857759694258372,0.7977596521377563,0.8406055569648743,0.9349138736724854
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,2048,0.8538733720779419,0.7955536246299744,0.8308417797088623,0.935224711894989
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,2048,0.8535345991452535,0.7968176007270813,0.8328465819358826,0.9309396147727966
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,2048,0.8526120185852051,0.7961739301681519,0.8248611688613892,0.9368009567260742
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,512,0.8477077881495158,0.7829042077064514,0.8467257618904114,0.9134933948516846
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,512,0.847212533156077,0.7938023805618286,0.8160545825958252,0.9317806363105774
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,1024,0.8414112329483032,0.7769042253494263,0.8264422416687012,0.9208872318267822
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,4096,0.8411875367164612,0.7682332396507263,0.8187501430511475,0.9365792274475098
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,1024,0.8411785165468851,0.7756817936897278,0.8233991265296936,0.9244546294212341
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,512,0.8405870596567789,0.7731771469116211,0.8468316793441772,0.9017523527145386
