experiment,lang,head_type,weights,model_short,max_length,threshold_relevance,threshold_utilization,threshold_adherence
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,1024,0.4,0.4,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,2048,0.4,0.5,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,256,0.3,0.2,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,4096,0.4,0.5,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,512,0.4,0.4,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,8192,0.4,0.5,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,128,0.5,0.1,0.6
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,256,0.2,0.5,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,512,0.2,0.5,0.4
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,1024,0.5,0.4,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,2048,0.5,0.4,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,256,0.2,0.2,0.2
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,4096,0.4,0.4,0.1
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,512,0.5,0.4,0.5
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,8192,0.5,0.5,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,1024,0.4,0.4,0.2
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,2048,0.4,0.5,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,256,0.5,0.4,0.4
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,4096,0.4,0.5,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,512,0.3,0.4,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,8192,0.4,0.4,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,128,0.1,0.1,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,256,0.5,0.2,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,512,0.2,0.7,0.7
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,1024,0.5,0.5,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,2048,0.4,0.4,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,256,0.4,0.5,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,4096,0.5,0.5,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,512,0.4,0.6,0.1
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,8192,0.5,0.5,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,1024,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,2048,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,4096,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,512,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,8192,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,DeBERTa-v3,128,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,DeBERTa-v3,256,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,DeBERTa-v3,512,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,Tochka-AI/ruRoPEBert-e5-base-2k,1024,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,Tochka-AI/ruRoPEBert-e5-base-2k,2048,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,Tochka-AI/ruRoPEBert-e5-base-2k,256,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,Tochka-AI/ruRoPEBert-e5-base-2k,512,0.1,0.1,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,1024,0.4,0.4,0.6
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,2048,0.4,0.4,0.4
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,4096,0.3,0.4,0.6
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,512,0.3,0.2,0.1
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,8192,0.2,0.4,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,BGE-M3,1024,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,BGE-M3,2048,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,BGE-M3,4096,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,BGE-M3,512,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,BGE-M3,8192,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,DeBERTa-v3,128,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,DeBERTa-v3,256,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,DeBERTa-v3,512,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,1024,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,2048,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,256,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,512,0.1,0.1,0.1
EN Simple 3:3:1,EN,Simple,3:3:1,ModernBERT,1024,0.4,0.5,0.3
EN Simple 3:3:1,EN,Simple,3:3:1,ModernBERT,2048,0.3,0.3,0.7
EN Simple 3:3:1,EN,Simple,3:3:1,ModernBERT,4096,0.3,0.3,0.7
EN Simple 3:3:1,EN,Simple,3:3:1,ModernBERT,512,0.2,0.3,0.3
EN Simple 3:3:1,EN,Simple,3:3:1,ModernBERT,8192,0.3,0.4,0.6
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,1024,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,2048,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,4096,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,512,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,8192,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,DeBERTa-v3,128,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,DeBERTa-v3,256,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,DeBERTa-v3,512,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,1024,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,2048,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,256,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,512,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,1024,0.3,0.4,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,2048,0.3,0.3,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,4096,0.1,0.1,0.1
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,512,0.3,0.4,0.4
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,8192,0.1,0.1,0.1
